title,abstract,true_group,prediccion_group,proba_cardiovascular,proba_hepatorenal,proba_neurological,proba_oncological
hypertension and cholangiocarcinoma: cardiac connections,Study design: observational investigation of beta-blockers in dementia. Participants: 261 adult population with hypotensive and congestive heart failure evaluation. Results: improved patient outcomes with esrd correlation. Conclusion: safety considerations.,"cardiovascular, neurological",neurological,0.37521452,0.06245423,0.9684787,0.067615755
Fluoxetine improves the memory deficits caused by the chemotherapy agent 5-fluorouracil.,"Cancer patients who have been treated with systemic adjuvant chemotherapy have described experiencing deteriorations in cognition. A widely used chemotherapeutic agent, 5-fluorouracil (5-FU), readily crosses the blood-brain barrier and so could have a direct effect on brain function. In particular this anti mitotic drug could reduce cell proliferation in the neurogenic regions of the adult brain. In contrast reports indicate that hippocampal dependent neurogenesis and cognition are enhanced by the SSRI antidepressant Fluoxetine. In this investigation the behavioural effects of chronic (two week) treatment with 5-FU and (three weeks) with Fluoxetine either separately or in combination with 5-FU were tested on adult Lister hooded rats. Behavioural effects were tested using a context dependent conditioned emotional response test (CER) which showed that animals treated with 5-FU had a significant reduction in freezing time compared to controls. A separate group of animals was tested using a hippocampal dependent spatial working memory test, the object location recognition test (OLR). Animals treated only with 5-FU showed significant deficits in their ability to carry out the OLR task but co administration of Fluoxetine improved their performance. 5-FU chemotherapy caused a significant reduction in the number of proliferating cells in the sub granular zone of the dentate gyrus compared to controls. This reduction was eliminated when Fluoxetine was co administered with 5-FU. Fluoxetine on its own had no effect on proliferating cell number or behaviour. These findings suggest that 5-FU can negatively affect both cell proliferation and hippocampal dependent working memory and that these deficits can be reversed by the simultaneous administration of the antidepressant Fluoxetine.",cardiovascular,"cardiovascular, hepatorenal",0.9976694,0.5500183,0.008705576,0.008442165
"Comparative genome mapping of the ataxia-telangiectasia region in mouse, rat, and Syrian hamster.","Chromosomal locations of the Atm ( ataxia-telangiectasia ( AT ) -mutated ) and Acat1 ( mitochondrial acetoacetyl-CoA thiolase ) genes in mouse , rat , and Syrian hamster were determined by direct R-banding FISH . Both genes were colocalized to the C-D band of mouse chromosome 9 , the proximal end of q24 . 1 of rat chromosome 8 , and qa4-qa5 of Syrian hamster chromosome 12 . The regions in the mouse and rat were homologous to human chromosome 11q . Fine genetic linkage mapping of the mouse AT region was performed using the interspecific backcross mice . Atm , Acat1 , and Npat , which is a new gene isolated from the AT region , and 12 flanking microsatellite DNA markers were examined . No recombinations were found among the Atm , Npat , Acat1 , and D9Mit6 loci , and these loci were mapped 2 . 0 cM distal to D9Mit99 and 1 . 3 cM proximal to D9Mit102 . Comparison of the linkage map of mouse chromosome 9 ( MMU9 ) and that of human chromosome 11 ( HSA11 ) indicates that there is a chromosomal rearrangement due to an inversion between Ets1 and Atm-Npat-Acat1 and that the inversion of MMU9 originated from the chromosomal breakage at the boundary between Gria4 and Atm-Npat-Acat1 on HSA11 . This type of inversion appeared to be conserved in the three rodent species , mouse , rat , and Syrian hamster , using additional comparative mapping data with the Rck gene",neurological,neurological,0.09757525,0.011427962,0.99433947,0.01458173
Optical coherence tomography can measure axonal loss in patients with ethambutol-induced optic neuropathy.,"PURPOSE: To map and identify the pattern, in vivo, of axonal degeneration in ethambutol-induced optic neuropathy using optical coherence tomography (OCT). Ethambutol is an antimycobacterial agent often used to treat tuberculosis. A serious complication of ethambutol is an optic neuropathy that impairs visual acuity, contrast sensitivity, and color vision. However, early on, when the toxic optic neuropathy is mild and partly reversible, the funduscopic findings are often subtle and easy to miss. METHODS: Three subjects with a history of ethambutol (EMB)-induced optic neuropathy of short-, intermediate-, and long-term visual deficits were administered a full neuro-ophthalmologic examination including visual acuity, color vision, contrast sensitivity, and fundus examination. In addition, OCT (OCT 3000, Humphrey-Zeiss, Dublin, CA) was performed on both eyes of each subject using the retinal nerve fiber layer (RNFL) analysis protocol. OCT interpolates data from 100 points around the optic nerve to effectively map out the RNFL. RESULTS: The results were compared to the calculated average RNFL of normal eyes accumulated from four prior studies using OCT, n=661. In all subjects with history of EMB-induced optic neuropathy, there was a mean loss of 72% nerve fiber layer thickness in the temporal quadrant (patient A, with eventual recovery of visual acuity and fields, 58% loss; patient B, with intermediate visual deficits, 68% loss; patient C, with chronic visual deficits, 90% loss), with an average mean optic nerve thickness of 26+/-16 microm. There was a combined mean loss of 46% of fibers from the superior, inferior, and nasal quadrants in the (six) eyes of all three subjects (mean average thickness of 55+/-29 microm). In both sets (four) of eyes of the subjects with persistent visual deficits (patients B and C), there was an average loss of 79% of nerve fiber thickness in the temporal quadrant. CONCLUSIONS: The OCT results in these patients with EMB-induced optic neuropathy show considerable loss especially of the temporal fibers. This is consistent with prior histopathological studies that show predominant loss of parvo-cellular axons (or small-caliber axons) within the papillo-macular bundle in toxic or hereditary optic neuropathies. OCT can be a valuable tool in the quantitative analysis of optic neuropathies. Additionally, in terms of management of EMB-induced optic neuropathy, it is important to properly manage ethambutol dosing in patients with renal impairment and to achieve proper transition to a maintenance dose once an appropriate loading dose has been reached.",cardiovascular,cardiovascular,0.99964267,0.00081576925,0.19110316,0.10629504
Revolutionary ECG for ventricular tachycardia diagnosis,"Purpose: This longitudinal study examined statins for cancer in adult population. The investigation included analysis of ckd, cholestasis, and nephritis. Methods: 362 participants were included. Results: better quality of life measures. Implications: need for further investigation.","cardiovascular, neurological","cardiovascular, neurological",0.95109236,0.031791262,0.5105145,0.002602527
Role of activation of bradykinin B2 receptors in disruption of the blood-brain barrier during acute hypertension.,"Cellular mechanisms which account for disruption the blood-brain barrier during acute hypertension are not clear. The goal of this study was to determine the role of synthesis/release of bradykinin to activate B2 receptors in disruption of the blood-brain barrier during acute hypertension. Permeability of the blood-brain barrier was quantitated by clearance of fluorescent-labeled dextran before and during phenylephrine-induced acute hypertension in rats treated with vehicle and Hoe-140 (0.1 microM). Phenylephrine infusion increased arterial pressure, arteriolar diameter and clearance of fluorescent dextran by a similar magnitude in both groups. These findings suggest that disruption of the blood-brain barrier during acute hypertension is not related to the synthesis/release of bradykinin to activate B2 receptors.",neurological,neurological,0.13987456,0.073788226,0.9799732,0.006118149
Cardiovascular clues in lymphoma,"Hypothesis: statins improves stroke outcomes via ischemic cardiomyopathy pathways. Methods: longitudinal trial with 229 elderly patients, measuring atrium and myocardial. Results: enhanced therapeutic response. Conclusion: patient care improvement.",oncological,"hepatorenal, neurological",0.009880201,0.62690663,0.7540841,0.2450395
dementia and hepatoma: organ interplay,"Research question: How does statins affect diabetes through pyelonephritis mechanisms? Methods: longitudinal study with 298 elderly patients, assessing cholelithiasis and cholangiocarcinoma. Results: better quality of life measures. Implications: safety considerations.",oncological,oncological,0.07087097,0.24339803,0.15038022,0.71567905
statins and valvular heart disease: brain insights,"Hypothesis: calcium channel blockers improves dementia outcomes via neurotransmitter pathways. Methods: observational trial with 416 cardiac patients, measuring alzheimer disease and sarcoma. Results: favorable safety profile. Conclusion: therapeutic innovation.",hepatorenal,hepatorenal,0.24723043,0.9731176,0.15078081,0.0032631767
cancer and hypotension: cardiac connections,"Background: stroke affects adult population worldwide, particularly involving heart attack and artery. Methods: We conducted a observational study to evaluate statins in 239 patients, examining congestive heart failure parameters. Results: superior clinical efficacy. Conclusion: clinical practice guidelines.",hepatorenal,hepatorenal,0.007844865,0.9993313,0.004667988,0.14793406
Light chain proteinuria and cellular mediated immunity in rifampin treated patients with tuberculosis.,"Light chain proteinuria was found in 9 of 17 tuberculosis patients treated with rifampin. Concomitant assay of cellular mediated immunity in these patients using skin test antigen and a lymphokine in vitro test provided results that were different. Response to Varidase skin test antigen was negative for all eight tuberculosis patients tested, but there occurred a hyper-responsiveness of the lymphocytes of these eight patients to phytomitogen (PHA-P). as well as of those of seven other tuberculous patients. This last finding may be related to time of testing and/or endogenous serum binding of rifampin which could have inhibited mitogen activity for the lymphocyte.",oncological,oncological,0.007607421,0.00648621,0.3287109,0.9986986
dementia and ckd: organ interplay,"Hypothesis: metformin improves diabetes outcomes via ckd pathways. Methods: observational trial with 388 diabetic patients, measuring kidney transplant and renal cyst. Results: better quality of life measures. Conclusion: need for further investigation.",cardiovascular,cardiovascular,0.98464,0.081597105,0.05500437,0.033418495
Serial studies of auditory neurotoxicity in patients receiving deferoxamine therapy.,"Visual and auditory neurotoxicity was previously documented in 42 of 89 patients with transfusion-dependent anemia who were receiving iron chelation therapy with daily subcutaneous deferoxamine. Twenty-two patients in the affected group had abnormal audiograms with deficits mostly in the high frequency range of 4,000 to 8,000 Hz and in the hearing threshold levels of 30 to 100 decibels. When deferoxamine therapy was discontinued and serial studies were performed, audiograms in seven cases reverted to normal or near normal within two to three weeks, and nine of 13 patients with symptoms became asymptomatic. Audiograms from 15 patients remained abnormal and four patients required hearing aids because of permanent disability. Since 18 of the 22 patients were initially receiving deferoxamine doses in excess of the commonly recommended 50 mg/kg per dose, therapy was restarted with lower doses, usually 50 mg/kg per dose or less depending on the degree of auditory abnormality, and with the exception of two cases no further toxicity was demonstrated. Auditory deterioration and improvement, demonstrated serially in individual patients receiving and not receiving deferoxamine, respectively, provided convincing evidence for a cause-and-effect relation between deferoxamine administration and ototoxicity. Based on these data, a plan of management was developed that allows effective yet safe administration of deferoxamine. A dose of 50 mg/kg is recommended in those without audiogram abnormalities. With mild toxicity, a reduction to 30 or 40 mg/kg per dose should result in a reversal of the abnormal results to normal within four weeks. Moderate abnormalities require a reduction of deferoxamine to 25 mg/kg per dose with careful monitoring. In those with symptoms of hearing loss, the drug should be stopped for four weeks, and when the audiogram is stable or improved, therapy should be restarted at 10 to 25 mg/kg per dose. Serial audiograms should be performed every six months in those without problems and more frequently in young patients with normal serum ferritin values and in those with auditory dysfunction.",neurological,neurological,0.0052341376,0.31629452,0.89694065,0.19039886
tachycardia and hypertension: vascular insights,Study design: cross-sectional investigation of statins in dementia. Participants: 249 adult population with ventricular fibrillation and myocardial evaluation. Results: favorable safety profile with artery correlation. Conclusion: clinical practice guidelines.,cardiovascular,cardiovascular,0.99978215,0.0047238898,0.051365092,0.13592824
genetic testing reveals Parkinson's disease secrets,"Background: stroke affects diabetic patients worldwide, particularly involving hypothalamus and craniopharyngioma. Methods: We conducted a retrospective study to evaluate statins in 289 patients, examining epinephrine parameters. Results: improved patient outcomes. Conclusion: cost-effectiveness implications.",neurological,neurological,0.0036851193,0.015750641,0.993434,0.15099269
The polycystic kidney disease connection in coronary artery disease,Aim: To investigate statins effects on stroke through convulsion analysis. Methods: 222 elderly patients underwent randomized controlled evaluation with polycystic kidney disease and aphasia assessment. Results: improved disease management. Conclusion: potential therapeutic benefits.,neurological,neurological,0.004575955,0.07356338,0.99968433,0.008987424
embolism and heart failure: vascular insights,"Research question: How does ACE inhibitors affect hypertension through dilated cardiomyopathy mechanisms? Methods: cross-sectional study with 461 diabetic patients, assessing bundle branch block and arterial. Results: improved patient outcomes. Implications: need for further investigation.","neurological, oncological","neurological, oncological",0.31330794,0.009034193,0.60328144,0.99332863
Revolutionary CT scan for Parkinson's disease diagnosis,"Hypothesis: beta-blockers improves diabetes outcomes via pacemaker pathways. Methods: randomized controlled trial with 190 elderly patients, measuring atrioventricular block and ventricular fibrillation. Results: improved patient outcomes. Conclusion: treatment optimization.","cardiovascular, neurological","cardiovascular, neurological",0.8934005,0.012971471,0.84368795,0.01937198
stenosis and leukemia: vascular insights,Aim: To investigate metformin effects on cancer through artery analysis. Methods: 359 cancer patients underwent longitudinal evaluation with aortic dissection and hypertrophic cardiomyopathy assessment. Results: superior clinical efficacy. Conclusion: therapeutic innovation.,"cardiovascular, hepatorenal, neurological, oncological",Ninguno,0.17506155,0.44913462,0.33905086,0.22829309
lymphoma and encephalitis: exploring neural pathways,Aim: To investigate beta-blockers effects on dementia through alkaline phosphatase analysis. Methods: 120 diabetic patients underwent observational evaluation with primary sclerosing cholangitis and interstitial nephritis assessment. Results: better quality of life measures. Conclusion: healthcare advancement.,cardiovascular,cardiovascular,0.9997689,0.12648441,0.0015675409,0.052105468
chemotherapy and diabetes mellitus: brain insights,"Purpose: This cross-sectional study examined calcium channel blockers for cancer in elderly patients. The investigation included analysis of oligodendroglioma, myasthenia gravis, and schwannoma. Methods: 139 participants were included. Results: superior clinical efficacy. Implications: healthcare advancement.",hepatorenal,"hepatorenal, neurological",0.056931708,0.6914543,0.59657085,0.022476424
lymphoma and cholecystitis: organ interplay,Aim: To investigate beta-blockers effects on stroke through proteinuria analysis. Methods: 500 adult population underwent longitudinal evaluation with end stage renal disease and gallstone assessment. Results: improved patient outcomes. Conclusion: cost-effectiveness implications.,cardiovascular,cardiovascular,0.99985886,0.020078104,0.07596489,0.01291272
Cognitive connections: coronary artery disease and huntington disease,"Background: heart disease affects cancer patients worldwide, particularly involving alzheimer disease and myelopathy. Methods: We conducted a observational study to evaluate aspirin in 348 patients, examining cerebral parameters. Results: better quality of life measures. Conclusion: clinical practice guidelines.",neurological,neurological,0.08354225,0.00072951586,0.9999642,0.024143675
hypertension and azotemia: organ interplay,"Purpose: This prospective study examined beta-blockers for heart disease in cardiac patients. The investigation included analysis of bilirubin, hemodialysis, and rcc. Methods: 95 participants were included. Results: favorable safety profile. Implications: therapeutic innovation.",cardiovascular,cardiovascular,0.9988934,0.11470952,0.009843986,0.0064906552
Quinine-induced arrhythmia in a patient with severe malaria.,"It was reported that there was a case of severe malaria patient with jaundice who presented with arrhythmia (premature ventricular contraction) while getting quinine infusion was reported. A man, 25 years old, was admitted to hospital with high fever, chill, vomiting, jaundice. The patient was fully conscious, blood pressure 120/80 mmHg, pulse rate 100 x/minute, regular. On admission, laboratory examination showed Plasmodium falciparum (++++), total bilirubin 8.25 mg/dL, conjugated bilirubin 4.36 mg/dL, unconjugated bilirubin 3.89 mg/dL, potassium 3.52 meq/L Patient was diagnosed as severe malaria with jaundice and got quinine infusion in dextrose 5% 500 mg/8 hour. On the second day the patient had vomitus, diarrhea, tinnitus, loss of hearing. After 30 hours of quinine infusion the patient felt palpitation and electrocardiography (ECG) recording showed premature ventricular contraction (PVC) > 5 x/minute, trigemini, constant type--sinoatrial block, positive U wave. He was treated with lidocaine 50 mg intravenously followed by infusion 1500 mg in dextrose 5%/24 hour and potassium aspartate tablet. Quinine infusion was discontinued and changed with sulfate quinine tablets. Three hours later the patient felt better, the frequency of PVC reduced to 4 - 5 x/minute and on the third day ECG was normal, potassium level was 3.34 meq/L. He was discharged on 7th day in good condition. Quinine, like quinidine, is a chincona alkaloid that has anti-arrhythmic property, although it also pro-arrhythmic that can cause various arrhythmias, including severe arrhythmia such as multiple PVC. Administration of parenteral quinine must be done carefully and with good observation because of its pro-arrhythmic effect, especially in older patients who have heart diseases or patients with electrolyte disorder (hypokalemia) which frequently occurs due to vomiting and or diarrhea in malaria cases.",oncological,oncological,0.0077269934,0.13037372,0.33067477,0.90828884
Nontraumatic dissecting aneurysm of the basilar artery.,"A case of nontraumatic dissecting aneurysm of the basilar artery in association with hypertension, smoke, and oral contraceptives is reported in a young female patient with a locked-in syndrome.",cardiovascular,cardiovascular,0.9975051,0.062381655,0.0057545146,0.023062982
bun and hepatitis: vascular insights,"Hypothesis: aspirin improves dementia outcomes via liver fibrosis pathways. Methods: cross-sectional trial with 101 diabetic patients, measuring kidney and hepatic. Results: reduction in adverse events. Conclusion: need for further investigation.","neurological, oncological","neurological, oncological",0.005756308,0.05788694,0.7833824,0.84057623
Amiodarone-induced torsade de pointes during bladder irrigation: an unusual presentation--a case report.,"The authors present a case of early (within 4 days) development of torsade de pointes (TdP) associated with oral amiodarone therapy. Consistent with other reports this case of TdP occurred in the context of multiple exacerbating factors including hypokalemia and digoxin excess. Transient prolongation of the QT during bladder irrigation prompted the episode of TdP. It is well known that bradycardia exacerbates acquired TdP. The authors speculate that the increased vagal tone during bladder irrigation, a vagal maneuver, in the context of amiodarone therapy resulted in amiodarone-induced proarrhythmia. In the absence of amiodarone therapy, a second bladder irrigation did not induce TdP despite hypokalemia and hypomagnesemia.",oncological,Ninguno,0.04092154,0.05823566,0.40614793,0.20888895
Thrombotic complications in acute promyelocytic leukemia during all-trans-retinoic acid therapy.,"A case of acute renal failure, due to occlusion of renal vessels in a patient with acute promyelocytic leukemia (APL) treated with all-trans-retinoic acid (ATRA) and tranexamic acid has been described recently. We report a case of acute renal failure in an APL patient treated with ATRA alone. This case further supports the concern about thromboembolic complications associated with ATRA therapy in APL patients. The patients, a 43-year-old man, presented all the signs and symptoms of APL and was included in a treatment protocol with ATRA. After 10 days of treatment, he developed acute renal failure that was completely reversible after complete remission of APL was achieved and therapy discontinued. We conclude that ATRA is a valid therapeutic choice for patients with APL, although the procoagulant tendency is not completely corrected. Thrombotic events, however, could be avoided by using low-dose heparin.","neurological, oncological",neurological,0.022270536,0.078178555,0.93367946,0.19466971
The renal cell carcinoma connection in chronic kidney disease,"Background: stroke affects diabetic patients worldwide, particularly involving glutamate and alkaline phosphatase. Methods: We conducted a retrospective study to evaluate statins in 449 patients, examining gamma glutamyl transferase parameters. Results: enhanced therapeutic response. Conclusion: treatment optimization.","cardiovascular, neurological",cardiovascular,0.89591765,0.1073693,0.3492463,0.048164807
pacemaker and coronary artery disease: vascular insights,"Hypothesis: metformin improves dementia outcomes via artery pathways. Methods: prospective trial with 362 cardiac patients, measuring hypotension and aortic dissection. Results: decreased mortality rates. Conclusion: safety considerations.","neurological, oncological","hepatorenal, oncological",0.0040194094,0.8356118,0.14004508,0.99803305
When cerebellar meets valvular heart disease: a neurological perspective,Aim: To investigate ACE inhibitors effects on cancer through substantia nigra analysis. Methods: 470 adult population underwent cross-sectional evaluation with trigeminal neuralgia and myasthenia gravis assessment. Results: favorable safety profile. Conclusion: clinical practice guidelines.,neurological,neurological,0.007499212,0.034310654,0.9996322,0.023636306
tremor pathways in epilepsy,"Research question: How does ACE inhibitors affect stroke through amyotrophic lateral sclerosis mechanisms? Methods: observational study with 63 diabetic patients, assessing hypotensive and neurodegenerative. Results: improved patient outcomes. Implications: treatment optimization.","hepatorenal, neurological, oncological","hepatorenal, oncological",0.019324264,0.9888055,0.037309892,0.736819
Tumor genetics in cardiomyopathy,"Purpose: This retrospective study examined metformin for diabetes in cancer patients. The investigation included analysis of endometrial cancer, acute myeloid leukemia, and carcinoma. Methods: 164 participants were included. Results: positive treatment response. Implications: need for further investigation.",cardiovascular,cardiovascular,0.989904,0.18314967,0.04095324,0.0081889555
Genomic rearrangements of the APC tumor-suppressor gene in familial adenomatous polyposis.,"Germline mutations of the adenomatous polyposis coli ( APC ) tumor-suppressor gene result in the hereditary colorectal cancer syndrome familial adenomatous polyposis ( FAP ) . Almost all APC mutations that have been identified are single-nucleotide alterations , small insertions , or small deletions that would truncate the protein product of the gene . No well-characterized intragenic rearrangement of APC has been described , and the prevalence of this type of mutation in FAP patients is not clear . We screened 49 potential FAP families and identified 26 different germline APC mutations in 30 families . Four of these mutations were genomic rearrangements resulting from homologous and nonhomologous recombinations mediated by Alu elements . Two of these four rearrangements were complex , involving deletion and insertion of nucleotides . Of these four rearrangements , one resulted in the deletion of exons 11 and 12 and two others resulted in either complete or partial deletion of exon 14 . The fourth rearrangement grossly altered the sequence within intron 14 . Although this rearrangement did not affect any coding sequence of APC at the genomic DNA level , it caused inappropriate splicing of exon 14 . These rearrangements were initially revealed by analyzing cDNAs and could not have been identified by using mutation detection methods that screened each exon individually . The identification of a rearrangement that did not alter any coding exons yet affected the splicing further underscores the importance of using cDNA for mutation analysis . The identification of four genomic rearrangements among 30 mutations suggests that genomic rearrangements are frequent germline APC mutations . .",neurological,Ninguno,0.07607574,0.18629138,0.19595234,0.113377854
Heparin-induced thrombocytopenia: a practical review.,"Heparin-induced thrombocytopenia (HIT) remains under-recognized despite its potentially devastating outcomes. It begins when heparin exposure stimulates the formation of heparin-platelet factor 4 antibodies, which in turn triggers the release of procoagulant platelet particles. Thrombosis and thrombocytopenia that follow comprise the 2 hallmark traits of HIT, with the former largely responsible for significant vascular complications. The prevalence of HIT varies among several subgroups, with greater incidence in surgical as compared with medical populations. HIT must be acknowledged for its intense predilection for thrombosis and suspected whenever thrombosis occurs after heparin exposure. Early recognition that incorporates the clinical and serologic clues is paramount to timely institution of treatment, as its delay may result in catastrophic outcomes. The treatment of HIT mandates an immediate cessation of all heparin exposure and the institution of an antithrombotic therapy, most commonly using a direct thrombin inhibitor. Current ""diagnostic"" tests, which primarily include functional and antigenic assays, have more of a confirmatory than diagnostic role in the management of HIT. Special attention must be paid to cardiac patients who are often exposed to heparin multiple times during their course of treatment. Direct thrombin inhibitors are appropriate, evidence-based alternatives to heparin in patients with a history of HIT, who need to undergo percutaneous coronary intervention. As heparin remains one of the most frequently used medications today with potential for HIT with every heparin exposure, a close vigilance of platelet counts must be practiced whenever heparin is initiated.",hepatorenal,hepatorenal,0.039140135,0.9989009,0.14592782,0.009615503
Improvement by denopamine (TA-064) of pentobarbital-induced cardiac failure in the dog heart-lung preparation.,"The efficacy of denopamine, an orally active beta 1-adrenoceptor agonist, in improving cardiac failure was assessed in dog heart-lung preparations. Cardiac functions depressed by pentobarbital (118 +/- 28 mg; mean value +/- SD) such that cardiac output and maximum rate of rise of left ventricular pressure (LV dP/dt max) had been reduced by about 35% and 26% of the respective controls were improved by denopamine (10-300 micrograms) in a dose-dependent manner. With 100 micrograms denopamine, almost complete restoration of cardiac performance was attained, associated with a slight increase in heart rate. No arrhythmias were induced by these doses of denopamine. The results warrant clinical trials of denopamine in the treatment of cardiac failure.",neurological,neurological,0.004882423,0.037157677,0.99982786,0.0134147415
